1,1,1,3,USD,0.80,lb
2,2,2,2,USD,3.99,gal
3,3,3,1,USD,5.00,bundle
4,4,4,3,USD,1.00,box
5,5,5,1,USD,2.00,bundle
6,6,6,1,USD,5.99,jar
7,7,7,2,USD,3.99,box
8,7,1,5.15,USD,0.80,lb
9,7,2,1,USD,3.99,gal
10,8,3,2,USD,5.00,bundle
11,9,4,4,USD,1.00,box
12,10,5,3,USD,2.00,bundle
13,11,6,2,USD,5.99,jar
14,12,7,1,USD,3.99,box
15,13,1,1,USD,0.80,lb
16,14,2,1,USD,3.99,gal
17,14,3,1,USD,5.00,bundle
18,15,4,1,USD,1.00,box
19,16,5,1,USD,2.00,bundle
20,17,6,1,USD,5.99,jar
21,18,7,1,USD,3.99,box
22,19,1,1,USD,0.80,lb
23,20,2,1,USD,3.99,gal
24,21,3,1,USD,5.00,bundle
25,21,4,1,USD,1.00,box
26,21,5,1,USD,2.00,bundle
27,22,6,1,USD,5.99,jar
28,23,7,1,USD,3.99,box
29,24,1,1,USD,0.80,lb
30,25,2,1,USD,3.99,gal
